"code","description"
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST"
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST"
"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST"
"RX4","NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST"
"RX6","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST"
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST"
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST"
"RX9","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST"
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST"
"RXC","EAST SUSSEX HEALTHCARE NHS TRUST"
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST"
"RXF","MID YORKSHIRE HOSPITALS NHS TRUST"
"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST"
"RXH","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST"
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST"
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST"
"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST"
"RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST"
"RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST"
"RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST"
"RXR","EAST LANCASHIRE HOSPITALS NHS TRUST"
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST"
"RXV","GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST"
"RXW","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST"
"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST"
"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST"
"RY1","LIVERPOOL COMMUNITY HEALTH NHS TRUST"
"RY2","BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST"
"RY3","NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST"
"RY4","HERTFORDSHIRE COMMUNITY NHS TRUST"
"RY5","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST"
"RY6","LEEDS COMMUNITY HEALTHCARE NHS TRUST"
"RY7","WIRRAL COMMUNITY NHS FOUNDATION TRUST"
"RY8","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST"
"RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST"
"RYA","WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST"
"RYC","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST"
"RYD","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST"
"RYE","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST"
"RYF","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST"
"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST"
"RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST"
"RYK","DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST"
"RYR","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST"
"RYT","PUBLIC HEALTH WALES NHS TRUST"
"RYV","CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST"
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST"
"RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST"
"RYY","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST"
